BatchID,THC,CBD,BMyrcene,BCaryophyllene,DLimonene,APinene,BPinene,AHumulene,terpinolene,Camphene,ATerpinene,GTerpinene,ATerpineol,d3Carene,Fenchol,Fenchone,APhellandrene,linalool,Ocimene,CaryophylleneOxide,cisNerolidol,Eucalyptol,Geraniol,Guaiol,Isopulegol,pCymene,transNerolidol,ABisabolol
1,742.30157,2.84148,25.53,3.69,8.93,1.22,2.21,0,4.07,0,0,0,0,0,0,0,0,1.72,1.42,0,0,0,0,0,0,0,0,0
2,720.33272,3.3326,20.93,5.76,21.46,2.97,3.92,0.99,2.68,0,0,0,0,0,0,0,0,1.62,1.93,0,0,0,0,0,0,0,0,0
3,716.89488,20.51303,23.24,3.09,21.54,1.3,2.71,0.71,2.98,0,0,0,0,0,0,0,0,1.87,1.22,0,0,0,0,0,0,0,0,0
4,667.38823,1.71015,21.02,2.96,15.8,2.51,2.39,0,4.01,0,0,0,0,0,0,0,0,1.07,1.6,0,0,0,0,0,0,0,0,0
5,791.22604,1.27,13.8,18.1,8.56,1.03,1.4,5.32,11.75,0,0,0,0,0,0,0,0,2.15,0,0,0,0,0,0,0,0,1.56,0.83
6,831.86329,1.39,20.51,13.55,11.31,0.91,1.3,3.73,2.7,0,0,0,0,0,0,0,0,4.35,0,0,0,0,0,0,0,0,2.34,0
7,805.54565,1.41,3.56,19.83,10.71,0,0.91,5.74,0.97,0,0,0,0,0,0,0,0,3.06,0,0,0,0,0,0,0,0,2.73,0.98
8,815.46091,1.7,6.45,14.27,4.42,0,0,4.33,4.23,0,0,0,0,0,0,0,0,2.47,1.66,0,0,0,0,1.2,0,0,3.39,1.55
9,730.50592,1.754,34.69,4.34,14.71,2.17,3.01,0.93,11.2,0,0,0,0,0,0,0,0,1.33,5.78,0,0,0,0,0,0,0,0,0
10,717.18429,1.56106,46.98,3.12,17.3,3.92,3.62,0,0.99,0,0,0,0,0,0,0,0,1.76,0.72,0,0,0,0,0,0,0,0,0
11,704.02052,1.69261,33.18,3.75,7.58,1.77,2.76,0.83,18.82,0,0.64,0,0,1.13,0,0,0,1.83,7.25,0,0,0,0,0,0,0,0.43,0
12,807.39989,1.5,2.76,22.94,6.07,0,0,7.54,1.18,0,0,0,0,0,0,0,0,2.47,0,0,0,0,0,1.84,0,0,1.79,1.42
13,798.93886,0.93,29.54,13.6,8.99,2.28,1.84,3.97,0.77,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0,0.76,1.21,0,2.09,1.1
14,828.90095,1.65,3.57,30.49,10.06,1.46,1.3,8.08,1.25,0,0,0,0,0,0,0,0,1.8,1.03,0,0,0,0,0.83,0,0,1.05,1.48
15,710.75588,1.56106,56.87,3.61,8.18,1.12,1.63,0.8,2.67,0,0,0,0,0,0,0,0,1.6,4.51,0,0,0,0,0,0,0,0,0
16,753.83048,1.39,1.77,22.85,4.11,0,0,6.69,0.89,0,0,0,0,0,0,0,0,1.55,0,0,0,0,0,1.9,0,0,0.81,1.16
17,953.97185,0,13.57,6.29,3.48,0.86,1.45,1.63,21.24,0,0,0,0,1.1,0,0,0,0.89,5.32,0,0,0,0,0,0,0,0.66,0
18,777.73237,2.58715,31.63,2.99,7.46,0.88,1.01,0,1.35,0,0,0,0,0,0,0,0,1.29,1.31,0,0,0,0,0,0,0,0,0
19,752.95712,2.56961,24.95,2.17,6.91,0.75,1.33,0,2.51,0,0,0,0,0,0,0,0,1.05,1.3,0,0,0,0,0,0,0,0,0
20,670.75591,2.63977,19.29,3.12,17.67,2.86,3.72,0,5.8,0,0,0,0,0,0,0,0,1.06,0.99,0,0,0,0,0,0,0,0,0
21,723.49869,1.69261,20.49,4.33,21.25,3.98,4.35,0.9,0,0,0,0,0,0,0,0,0,1.06,0.92,0,0,0,0,0,0,0,0,0
22,985.94356,0,18.78,0.85,5.1,4.29,2.55,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,984.31522,0,15.55,1.83,3.11,0,0,0,1.45,0,0,0,0,0,0,0,0,0,2.58,0,0,0,0,0,0,0,0,0
24,772.20727,1.96448,9.61,1.49,11.27,1.87,2.21,0,2.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,736.78524,1.85924,32.1,4.11,11.86,2.71,2.51,0.92,5.86,0,0,0,0,0,0,0,0,1.56,3.69,0,0,0,0,0,0,0,0,0
26,853.69177,1.34,3.2,20.34,7.06,0,0.81,5.91,0,0,0,0,0,0,0,0,0,1.81,0.91,0,0,0,0,2.66,0,0,2.04,0.93
27,729.0501,2.22758,18.85,4.55,12.58,2.49,2.47,1.23,2.37,0,0,0,0,0,0,0,0,0.79,2.77,0,0,0,0,0,0,0,0,0
28,730.22528,8.41043,13.58,3.71,21.95,3.31,3.64,0.88,0.75,0,0,0,0,0,0,0,0,1.18,1.06,0,0,0,0,0,0,0,0,0
29,982.97333,0,15.87,2.2,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26,0,0,0,0,0,0,0,0,0
